cartodb_id,suburb,responsible_authority,rest_area_number,rest_area_name,description,construction_date,site_status,latitude,longitude,lga,region,distance_from,road_name,road_number,link_no,carriageway_code,ne_unique,carriageway_configuration,side_of_road,category,vehicle_type,separated_parking_areas_light_heavy,light_vehicle_parking_capacity,light_vehicles_parking_type,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,entry_taper,exit_taper,shade,sign_non_potable,power_outlets,playground,litter_bins,emergency_phones,accessible,access_direction,lighting,tree_shading,tourist_information,sports_ground,shelter,bbq,picnic_table,toilets,baby_change_facilities,lookout,caravan_disposal,power_supply,driver_reviver,food_available,fuel_available,boat_ramp,pets_allowed,water_supply_type,access_direction_cardinal,guid,last_updated,_ds_write_method,disabled_toilet
100,COWRA,Transport for NSW,860,Waugoola Creek Rest Area,,,,-33.82557,148.72123,COWRA,West,0.7km East of Cowra,BATHURST RD,6,275,A,"0000006,0275,A1",Physical Seperation,Right,Class 5 Heavy Vehicle Rest Area,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Counter,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
754,TARCUTTA,Transport for NSW,41,Keajura Truck Parking Bay Northbound,,,,-35.31702,147.6599,WAGGA WAGGA,South,53km from Gundagai and 126km to Albury,HUME HIGHWAY,2,2045,C,"0000002,2045,C1",Main Carriageway,Right,Parking Area Heavy Rest Areas,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Eastbound,,20250826,,
679,ROBIN HILL,Transport for NSW,759,Robin Hill Rest Area,,,,-33.43441,149.53292,BATHURST REGIONAL,West,29.7km East of Blayney,MID WESTERN HIGHWAY,6,30,A,"0000006,0030,A2",Main Carriageway,Left,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Prescribed,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
95,YETHOLME,Private,4528,Yetholme Service Centre,,,Open,-33.44651,149.82941,BATHURST REGIONAL,West,,GREAT WESTERN HIGHWAY,5,1680,A,"0000005,1680,A1",Physical Seperation,Right,Service Centre,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,,,,,,,,TRUE,TRUE,,,,,,20250826,,
494,ELONG ELONG,Council,1775,Elong Elong Village Rest Area,,,,-32.11089,149.03861,DUBBO REGIONAL,West,49.58km East of Dubbo (Bourke St),DUNEDOO-DUBBO RD,27,400,A,"0000027,0400,A1",,Left,Other Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
540,FERNMOUNT,Council,1831,Burdett Park,,,,-30.4725,152.935,BELLINGEN,North,7.4km West of HW10,WATERFALL WAY,76,11,A,"0000076,0011,A1",,Left,Informal Light Rest Areas,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,2,,,,,,,,,,,Westbound,,20250826,,
609,RICHMOND,Council,1381,Grand Circular Tourist Drive Information Centre,,,,-33.6061,150.77981,HAWKESBURY,Greater Sydney,1.05km from Ritchmond,WINDSOR ST,184,370,A,"0000184,0370,A1",,Left,Informal Light Rest Areas,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
307,DARLINGTON POINT,Transport for NSW,232,Birdcage Rest Area Westbound,,,Open,-34.52435,145.70256,MURRUMBIDGEE,South,89km from Narrandera and  84km to Hay,STURT HIGHWAY,14,310,A,"0000014,0310,A1",Physical Seperation,Left,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,TRUE,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,TRUE
654,MOONEY MOONEY,Transport for NSW,1729,Hawkesbury Rest Area Southbound,,,Open,-33.52951,151.20041,CENTRAL COAST,North,45km from Sydney,SYDNEY-NEWCASTLE FREEWAY,6003,1112,C,"0006003,1112,C1",Physical Seperation,Right,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,TRUE,,TRUE,6,,,,,,TRUE,,,,,Southbound,,20250826,,TRUE
299,SANDIGO,Transport for NSW,211,Sandigo Rest Area,,,Open,-34.92105,146.64871,NARRANDERA,South,74km from Wagga Wagga and  23km to Narrandera,STURT HIGHWAY,14,190,A,"0000014,0190,A1",Physical Seperation,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,TRUE,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
385,DUBBO,Transport for NSW,1739,Sappa Bulga Rest Area,,,,-32.29598,148.54958,DUBBO REGIONAL,West,7.80km South of Dubbo (SH7),NEWELL HIGHWAY,17,2800,A,"0000017,2800,A1",Main Carriageway,Right,Class 5 Heavy Vehicle Rest Area,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
549,THORA,Council,4002,Roses Park Rest Area,,,Open,-30.42617,152.77913,BELLINGEN,North,14.2km West of Bellingen,WATERFALL WAY,76,60,A,"0000076,0060,A1",Physical Seperation,Right,Informal Light Rest Areas,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Counter,,,,,,TRUE,TRUE,3,,,,,,,,,,,Both Directions,,20250826,,
108,CARAGABAL,Council,844,Caragabel Rest Area,,,,-33.84378,147.73991,WEDDIN,West,Caragabel,MID WESTERN HIGHWAY,6,580,A,"0000006,0580,A1",,Right,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,TRUE,TRUE,,,Both,,,,,,TRUE,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,
392,BIDDON,Transport for NSW,894,Yalcogrin Rest Area,,,,-31.63243,148.73436,GILGANDRA,West,12.3km North of Gilgrandra,NEWELL HIGHWAY,17,2985,A,"0000017,2985,A1",Physical Seperation,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
601,TUMBARUMBA,Other,447,Mannus Lake,,,,-35.77920146,147.9446623,SNOWY VALLEYS,South,37km from Jingellic and  7km to Tumbarumba,JINGELLIC RD,85,40,A,"0000085,0040,A1",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,1,,,,,,,,,,,Both Directions,,20250826,,
362,WYALONG,Transport for NSW,787,Quandialla Stopping Bay,,,,-33.92133,147.26639,BLAND,South,6km from West Wyalong and  98km to Forbes,NEWELL HIGHWAY,17,2480,A,"0000017,2480,A2",Physical Seperation,Left,Informal Heavy Rest Areas,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,,0,,,,,,,,,,,,,20250826,,
388,GILGANDRA,Transport for NSW,899,Marthaguy Rest Area,,,Open,-31.81827,148.63942,GILGANDRA,West,8.7km South of Gilgrandra,NEWELL HIGHWAY,17,2940,A,"0000017,2940,A2",,Right,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,TRUE
407,NARRABRI,Transport for NSW,1182,South Narrabri Stopping Bay,,,,-30.34907,149.75842,NARRABRI,West,3.7km South of Narrabri,NEWELL HIGHWAY,17,3140,A,"0000017,3140,A2",Physical Seperation,Right,Informal Heavy Rest Areas,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
23,SUTTON FOREST,Transport for NSW,24,Gordon VC Rest Area,,,,-34.53498,150.28167,WINGECARRIBEE,South,22km South of Mittagong,HUME HIGHWAY,2,1045,C,"0000002,1045,C2",,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,TRUE,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,
94,MOUNT LAMBIE,Transport for NSW,1362,Mount Lambie Scenic Rest Area,,,,-33.45544,149.9771,LITHGOW CITY,West,20.28km from Lithgow,GREAT WESTERN HIGHWAY,5,1660,A,"0000005,1660,A3",Main Carriageway,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
617,WILSONS VALLEY,National Parks and Wildlife Service,386,Sawpit Rest Area,,,,-36.35067,148.56359,SNOWY MONARO REGIONAL,South,15km West of Jindabyne,KOSCIUSZKO ROAD,286,150,A,"0000286,0150,A2",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,,,,Both,,,,,,TRUE,TRUE,1,,,,,,,,,,,Both Directions,,20250826,,
335,SANDILANDS,Transport for NSW,613,Sandilands Rest Area,,,Open,-28.90087,152.65415,KYOGLE,North,45.9km North of Casino,BRUXNER HIGHWAY,16,340,A,"0000016,0340,A1",Physical Seperation,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,1,,,,,,,,,,,Both Directions,,20250826,,TRUE
759,OURIMBAH,Council,3424,Ourimbah Commuter Carpark,,,Open,-33.3453,151.371,CENTRAL COAST,North,,PACIFIC HIGHWAY,10,1070,C,"0000010,1070,C2",Physical Seperation,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,,,20250826,,
40,BREADALBANE,Transport for NSW,9,Windmills Truck Parking Bay Southbound,,,Open,-34.82309,149.39775,UPPER LACHLAN SHIRE,South,33km South of Goulburn,HUME HIGHWAY,2,1325,B,"0000002,1325,B2",Main Carriageway,Left,Parking Area Heavy Rest Areas,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Prescribed,,,,,,,,0,,,,,,,,,,,Westbound,,20250826,,
442,NIMMITABEL,Council,372,Lake Williams Rest Area,,,,-36.51503,149.28211,SNOWY MONARO REGIONAL,South,At Nimmitabel,BOMBALA ST,19,1170,A,"0000019,1170,A1",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,TRUE,TRUE,4,,,,,,,,,,,Both Directions,,20250826,,TRUE
774,BRANXTON,Transport for NSW,3309,Branxton Truck Rest Area Westbound,,,Open,-32.65729,151.33726,SINGLETON,North,3.2 km from Branxton,HUNTER EXPRESSWAY,6011,240,B,"0006011,0240,B1",Physical Seperation,Left,Class 3 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Prescribed,,,,,TRUE,,TRUE,4,,,,,,,,,,,Eastbound,,20250826,,TRUE
552,FERNBROOK,Council,986,Johnson Rest Area,,,,-30.34716,152.65067,BELLINGEN,North,6.6km West of Dorrigo (38.6km East of Ebor),WATERFALL WAY,76,120,A,"0000076,0120,A1",,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,,,,Counter,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
68,BYWONG,Transport for NSW,325,Donnelly Stopping Bay Southbound,,,,-35.16559,149.30866,QUEANBEYAN-PALERANG REGIONAL,South,66km South of Goulburn,FEDERAL HIGHWAY,3,1031,C,"0000003,1031,C2",Physical Seperation,Right,Informal Heavy Rest Areas,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,,,,Counter,,,,,,,,0,,,,,,,,,,,Westbound,,20250826,,
849,PARKES,Transport for NSW,1757,Billabong Creek Rest Area,,,,-33.20927,148.12516,PARKES,West,10km South of Parkes,NEWELL HIGHWAY,17,2631,A,"0000017,2631,A2/1",,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,TRUE,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
841,WYALONG,Council,3095,Cooinda Park,,,,-33.92431,147.2342,BLAND,South,3km from West Wyalong and 101km to Forbes,NEELD ST,,2470,A,"0410020,2470,A1",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,TRUE,TRUE,4,,,,,,,,,,,Both Directions,,20250826,,
188,BROKEN HILL,Transport for NSW,1752,West Broken Hill Rest Area Eastbound,,,,-32.04024,141.13525,UNINCORPORATED - FAR WEST AREA,West,35.9km West of Broken Hill,BARRIER HIGHWAY,8,510,A,"0000008,0510,A3",Physical Seperation,Left,Class 4 Heavy Vehicle Rest Area,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Prescribed,,,,,,TRUE,TRUE,1,,,,,,,,,,,Westbound,,20250826,,
766,SOUTH KEMPSEY,Private,4005,Kempsey South Service Centre,,,Open,-31.12917,152.82736,KEMPSEY,North,113km north of Taree,Pacific Highway,10,2270,C,"0000010,2270,C1",Physical Seperation,Right,Service Centre,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,TRUE,TRUE,,,Both,,,,,,,,1,,,,,,TRUE,TRUE,,,,Both Directions,,20250826,,
322,BALRANALD,Transport for NSW,259,Prungle Mail Rest Area,,,Open,-34.62197,143.40072,BALRANALD,West,15km from Balranald and  64km to Euston,STURT HIGHWAY,14,490,A,"0000014,0490,A1",Physical Seperation,Left,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,TRUE,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
61,SOUTH GUNDAGAI,Transport for NSW,54,Big Ben Creek Truck Parking Bay Eastbound,,,Open,-35.10904,148.05511,COOTAMUNDRA-GUNDAGAI REGIONAL,South,6km from Gundagai and 173km to Albury,HUME HIGHWAY,2,1945,C,"0000002,1945,C2",Main Carriageway,Right,Parking Area Heavy Rest Areas,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Eastbound,,20250826,,
681,YARRA,Transport for NSW,317,Kibby VC Rest Area,,,,-34.81698,149.60241,GOULBURN MULWAREE,South,14km South of Goulburn,FEDERAL HIGHWAY,3,1085,C,"0000003,1085,C1",,Right,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,TRUE,,TRUE,2,,,,,,,,,,,Southbound,,20250826,,
223,TENTERFIELD,Transport for NSW,1810,Apex Park Rest Area,,,Open,-29.0689,152.01401,TENTERFIELD,North,89km North of Glen Innes,NEW ENGLAND HIGHWAY,9,1480,A,"0000009,1480,A1",Physical Seperation,Right,Informal Light Rest Areas,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,0,,,,,,,,,,,Eastbound,,20250826,,
424,CAPERTEE,Transport for NSW,562,Pearsons Lookout Rest Area,,,,-33.1677,149.99861,LITHGOW CITY,West,33.8km from Mudgee turnoff,CASTLEREAGH HIGHWAY,18,1050,A,"0000018,1050,A1",Physical Seperation,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
